,hotel_code,hotel_name
0,3001395,신라스테이 역삼
1,3001615,카파스 호텔
2,3000769,노보텔 앰배서더 강남
3,3001437,호텔 더 디자이너스 리즈 강남
4,3009050,신라스테이 서초
5,1000105844,신라스테이 삼성
6,3000742,이비스 스타일 앰배서더 강남
7,3018171,호텔 인 나인 강남
8,3011846,L7 강남 바이 롯데
9,1000101062,신천(잠실새내) 호텔 더 캐슬
10,3014284,호텔 뉴브
11,3000690,라마다 서울 강남
12,3000865,호텔 리베라 청담
13,3001516,카푸치노 호텔
14,3000598,베스트웨스턴 프리미어 강남
15,3000826,나비 호텔레지던스
16,3006832,호텔 엔트라 강남
18,10039725,소피텔 앰배서더 서울 호텔 &amp; 서비스드 레지던스
19,3016868,호텔 크레센도 서울
20,3008250,잠실 딜라이트호텔
21,3000804,임피리얼 팰리스 서울
22,3000638,강남아르누보씨티 호텔
23,3000624,역삼 아르누보 호텔
24,1000099895,호스텔베네 롯데타워점
25,1000110881,안테룸 서울
26,3002018,글래드 라이브 강남
27,3001502,호텔티롤
28,3001221,롯데호텔 월드
