,hotel,star,review,preprocessed_review,date
0,신라스테이 역삼,2,"프론트 스탭 분들은 친절하게 서비스 해 주시려고 해 주셔서 감사했습니다.! 신라스테이 모든 지점이 그렇듯 방음은 잘 안 되는 것 같아요 복도에 메이드 분들 음악 틀고 빈 객실 청소하시면서 대화하시는 소리가 객실 안까지 들릴 정도니,,, 객실 청결도는 그렇게 좋지 않았던 것 같아요 시설이 노화되면 어쩔 수 없다지만 욕실 곳곳에 물때, 곰팡이 낀 건 조금 슬펐던 것 같아용",프런트 스태프 분들은 친절하게 서비스해 주시려고 해 주셔서 감사했습니다 신라스테이 모든 지점이 그렇듯 방음은 잘 안되는 것 같아요 복도에 메이드 분들 음악 틀고 빈 객실 청소하시면서 대화하시는 소리가 객실 안까지 들릴 정도니 객실 청결 도는 그렇게 좋지 않았던 것 같아요 시설이 노화되면 어쩔 수 없다지만 욕실 곳곳에 물때 곰팡이 낀 건 조금 슬펐던 것 같아요,2021. 08. 11
1,신라스테이 역삼,1,"서랍위에 있어서 손님용이냐고 카운터에 물어보니 아니랍니다. 저 칸도 손님이 사용하는 서랍입니다. 먼지도 엄청 많습니다. 관리를 안하나요?
손님이 치우고 물티슈로 닦고.
얘기했더니 대처도 없고 서비스가 꽝이네요.",서랍 위에 있어서 손님 용이냐고 카운터에 물어보니 아니랍니다 저 칸도 손님이 사용하는 서랍입니다 먼지도 엄청 많습니다 관리를 안 하나요 손님이 치우고 물티슈로 닦고 얘기했더니 대처도 없고 서비스가 꽝이네요,2021. 08. 10
2,신라스테이 역삼,1,"벽에 보풀이낫나했는데
먼지가 세상세상 심하게다붙어잇고..
청소상태 진짜 초ㅣ악이네요
머리카락들이며..
샤워기호수 곰팡이 세균그득그득..
화장실배수구 냄새에 곰팡이에..
변기...더럽고  
코로나인데 사람이많이올수록 더 신경써야죠
일요일체크아웃하는데 사람들 줄이 어마어마
체크아웃바로할수있게 시스템도안되있고
역삼점 다시는 갈 의향없어요더보기",벽에 보풀이 낫나 했는데 먼지가 세상 세상 심하게 다붙어 잇고 청소상태 진짜 최악이네요 머리카락들이며 샤워 기호 수 곰팡이 세균 그득그득 화장실 배수구 냄새에 곰팡이에 변기 더럽고  코로나인데 사람이 많이 올수록 더 신경 써야죠 일요일 체크아웃하는데 사람들 줄이 어마어마 체크아웃 바로 할 수 있게 시스템도 안 돼있고 역삼점 다시는 갈 의향 없어요 ,2021. 07. 25
3,신라스테이 역삼,2,첨에 체크인한 방에 쓰레기가 있어서 방 바꿔주셨어요,첨에 체크인 한 방에 쓰레기가 있어서 방 바꿔주셨어요,2021. 06. 02
4,신라스테이 역삼,1,"다 좋은데
방에 게속 웅~웅 거리는 소음때문에
잠을 한숨도 못잠.",다 좋은데 방에 계속 윙윙 거리는 소음 때문에 잠을 한숨도 못 잠,2021. 06. 02
5,신라스테이 역삼,2,서비스도 엉망이고 옆방  소리 잘들려요. 요즘은 모텔처럼 운영해서 별로임,서비스도 엉망이고 옆방  소리 잘 들려요 요즘은 모텔처럼 운영해서 별로임,2021. 05. 18
6,신라스테이 역삼,1,핸드폰 충전기랑 에어팟프로 무조건 두고오고 확실히 두고와서 다음날 찾아달라고 부탁하니 없다고 하심 ㅋㅋ 나의 찾기에서도 거기서 위치가 마지막으로 찍혔는데도 없다고 하심 진짜 너무하심 ㅋㅋ,핸드폰 충전기랑 에어팟 프로 무조건 두고 오고 확실히 두고 와서 다음날 찾아달라고 부탁하니 없다고 하심  나의 찾기에서도 거기서 위치가 마지막으로 찍혔는데도 없다고 하심 진짜 너무하심 ,2021. 05. 17
7,신라스테이 역삼,2,룸컨디션 엉망..머리카락에 소주병뚜껑에,룸 컨디션 엉망 머리카락에 소주 병뚜껑에,2021. 05. 10
8,신라스테이 역삼,1,시설이나 편의성이야 다른 신라스테이들이랑 비슷하게 괜찮은데 저는 체크인 부터 입실 처음부터 딱 기분이 상했네요. 야놀자랑 연계해서 예약을 하게 해놨으면 닉네임으로 예약하는 사람들한테 애초에 본명 세글자로 예약을 하라고 말을 적어놓던지 했어야지; 왜 예약이 바로 확인이 안되는걸 고객탓인듯 얘기하나요? 프론트 친절도가 너무 떨어지는것 같네요. 그리고 그 기분 나쁜 마음으로 입실을 해서 유난히 더 그랬는진 모르겠지만 화장실 배관 냄새가 너무 역해서 들어가자마자 환기부터 시켰네요. 새벽엔 시끄럽고 결국 퇴실할때까지 배관냄새는 진동하고.. 그냥 룸이라도 바꿔달라고 요청할껄 괜히 참았네요,시설이나 편의성이야 다른 신라스테이들이랑 비슷하게 괜찮은데 저는 체크인부터 입실 처음부터 딱 기분이 상했네요 야 놀자랑 연계해서 예약을 하게 해놨으면 닉네임으로 예약하는 사람들한테 애초에 본명 세 글자로 예약을 하라고 말을 적어놓든지 했어야지 왜 예약이 바로 확인이 안되는 걸 고객 탓인 듯 얘기하나요 프런트 친절도가 너무 떨어지는 것 같네요 그리고 그 기분 나쁜 마음으로 입실을 해서 유난히 더 그랬는진 모르겠지만 화장실 배관 냄새가 너무 역해서 들어가자마자 환기부터 시켰네요 새벽엔 시끄럽고 결국 퇴실할 때까지 배관 냄새는 진동하고 그냥 룸이라도 바꿔달라고 요청할걸 괜히 참았네요,2021. 04. 25
9,신라스테이 역삼,1,하수구냄새 심하고 방온도 조절안되서 엄청 더워요. 방온도 하루종일 26.5도 신라스테이는 갈때마다 별로예요.,하수구 냄새 심하고 빵 온도 조절 안돼서 엄청 더워요 빵 온도 하루 종일 도 신라스테이는 갈 때마다 별로예요,2021. 04. 24
