,hotel,star,review,preprocessed_review,date,star_label,helpful,sentiment
0,더 베스트 제주 성산(구 라마다 앙코르 성산),2.0,"수영장때문에 이 숙소 예약하게 됬습니다. 잘 놀았고 루프탑 수영장은 좋습니다.

다만 방음이 너무 안돼요. 옆방 티비소리 다들리고 물내려가는 소리 등 매우 시끄럽습니다. 복도에서는 모든방의 소리가 다 들립니다.

옆방 소음 많이 들리면 처음부터 룸 체인지 요청하세요 주의바란다고 하면 달라지는거 없습니다 저도 3번의 컴플레인 끝에 더이상은 못참겠다고 룸체인지 요청해서 방 옮겼습니다 옮긴 방은 양 옆이 빈 방이어서 조용했네요

방음 이외에도 전체적으로 룸컨디션이 별로에요. 많이 노후화되어 있고 수영장만보고 가기에는 어차피 수영장도 추가요금이 있기때문에 메리트 없다고 생각합니다. 재방문 의사 없습니다.더보기",수영장 때문에 이 숙소 예약하게 됐습니다 잘 놀았고 루프탑 수영장은 좋습니다 다만 방음이 너무 안돼요 옆방 티브이 소리 다 들리고 물 내려가는 소리 등 매우 시끄럽습니다 복도에서는 모든 방의 소리가 다 들립니다 옆방 소음 많이 들리면 처음부터 룸 체인지 요청하세요 주의 바란다고 하면 달라지는 거 없습니다 저도 번의 컴플레인 끝에 더 이상은 못 참겠다고 룸 체인지 요청해서 방 옮겼습니다 옮긴 방은 양옆이 빈 방이어서 조용했네요 방음 이외에도 전체적으로 룸 컨디션이 별로예요 많이 노후화되어 있고 수영장만 보고 가기에는 어차피 수영장도 추가요금이 있기 때문에 메리트 없다고 생각합니다 재방문 의사 없습니다 ,2021-08-04,0.0,1.0,부정
1,더 베스트 제주 성산(구 라마다 앙코르 성산),1.0,"모텔보다도 못한 방음, 그리고 너무더러웠어요",모텔보다도 못한 방음 그리고 너무 더러웠어요,2021-08-04,0.0,0.0,부정
2,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,"시설도 깔끔하고 너무 좋았어요. 조식도 맛있게 먹었습니다. 다만 주차장이 협소하여 공터에 차를 주차해야하는 번거로움이 있었습니다.
그거빼면 다 좋았고,또 방문하고 싶어요",시설도 깔끔하고 너무 좋았어요 조식도 맛있게 먹었습니다 다만 주차장이 협소하여 공터에 차를 주차해야 하는 번거로움이 있었습니다 그거 빼면 다 좋았고 또 방문하고 싶어요,2021-08-04,1.0,1.0,긍정
3,더 베스트 제주 성산(구 라마다 앙코르 성산),3.0,여직원들 너무 싸가지가없어요 인사도없고 직원들별로 예의가없음 서비스에대한,여직원들 너무 싹수가 없어요 인사도 없고 직원들 별로 예의가 없음 서비스에 대한,2021-08-04,0.0,1.0,부정
4,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,성산일출봉이 바로 보이는 좋은곳!!!,성산일출봉이 바로 보이는 좋은 곳,2021-07-28,1.0,0.0,긍정
5,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,"6월에도 갔었고 요번에도 갔지만
괜찮습니다^^

항상 번창하세요^^",월에도 갔었고 요번에도 갔지만 괜찮습니다 항상 번창하세요,2021-07-26,1.0,0.0,긍정
6,더 베스트 제주 성산(구 라마다 앙코르 성산),2.0,"5월에 리모델링 했다고 해서 기대 했는데 기대가 너무 컸나봐요.. 

이용후기에 제일 많은 방음 문제.. 심각하네요.
옆방에서 올림픽 뭐 보는지 다 알아요.

그리고 리모델링 했다면서 어딜 했는지 모르겠어요..
욕실에서 하수구 냄새 엄청 심하고요. 욕실 미닫이 문은 제대로 되지도 않고 객실 창문 엄청 더러워서 밖에 볼 때마다 기분 나쁘네요..

직원들은 호텔 수준으로 다들 친절한데 
객실 수준은 여관 수준이네요..

청소 상태와 객실만 전체적으로 리모델링 하면 괜찮은 곳..(골든튤립보다 좋을 듯)

현재는 건너편 골든튤립이 시설이나 청결도에서 더 나은것 같아요..

편의점이 1층에 있는 것과 루프탑 수영장이 있는 건 장점!

단, 수영장 물은 관리가 필요해 보입니다. 물속에 뭐가 많이 다녀요,,,,,,

다음에 재방문 의사? 현재는 없습니다..
특별히 위치가 좋은 것도 아니고..
고민 많이 될 것 같네요.

리뷰 답변 밑에 복사 붙여넣기 하실 꺼면 달지 마세요^^더보기",월에 리모델링 했다고 해서 기대했는데 기대가 너무 컸나 봐요 이용후기에 제일 많은 방음 문제 심각하네요 옆방에서 올림픽 뭐 보는지 다 알아요 그리고 리모델링 했다면서 어딜 했는지 모르겠어요 욕실에서 하수구 냄새 엄청 심하고요 욕실 미닫이문은 제대로 되지도 않고 객실 창문 엄청 더러워서 밖에 볼 때마다 기분 나쁘네요 직원들은 호텔 수준으로 다들 친절한데 객실 수준은 여관 수준이 네 요 청소 상태와 객실만 전체적으로 리모델링 하면 괜찮은 곳 골든 튤립보다 좋을 듯 현재는 건너편 골든 튤립이 시설이나 청결도 이에서 더 나은 것 같아요 편의점이 층에 있는 것과 루프탑 수영장이 있는 건 장점단 수영장 물은 관리가 필요해 보입니다 물속에 뭐가 많이 다녀 요다음에 재방문 의사 현재는 없습니다 특별히 위치가 좋은 것도 아니고 고민 많이 될 것 같네요 리경치 답변 밑에 복사 붙여넣기 하실 거면 달지 마세요 ,2021-07-26,0.0,1.0,긍정
7,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"객실을 찍은사진은 별게 없구 레이트체크아웃 오후2시까지 신청하구 루프탑수영장 갔어요
가성비가 넘 조아서 담에 또 갈듯
친절한 안내와 서비스 고맙습니다!
성산일출봉 보며 물놀이 짱!",객실을 찍은 사진은 별게 없고 레이트 체크아웃 오후 시까지 신청하고 루프탑 수영장 갔어요 구성비 가 너무 좋아서 담에 또 갈듯 친절한 안내와 서비스 고맙습니다 성산일출봉 보며 물놀이 짱,2021-07-25,1.0,1.0,긍정
8,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,밤에 잘때 환풍기소리때문에 계속 깸.,밤에 잘 때 환풍기 소리 때문에 계속 깸,2021-07-24,1.0,0.0,긍정
9,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,방에 먼지가 많은거 말고는 굿,방에 먼지가 많은 거 말고는 굿,2021-07-23,1.0,0.0,긍정
