,hotel_name,noun_extraction
0,더 베스트 제주 성산(구 라마다 앙코르 성산),"[('경치', 6), ('바닥', 5), ('주차장', 5), ('욕실', 5), ('카펫', 4), ('찝찝', 4), ('소리', 4), ('장실', 4), ('샴푸', 4), ('객실', 4), ('소음', 4), ('심했', 4), ('아기', 4), ('수영장', 4), ('냄새', 3), ('환풍기', 3), ('커튼', 3), ('더러웠', 3), ('침대', 3), ('청결', 3), ('관리', 3), ('보디', 3), ('아쉬웠', 3), ('불편', 3), ('까만', 2), ('곰팡이', 2), ('유리', 2), ('체크인', 2), ('내내', 2), ('치약', 2), ('칫솔', 2), ('슬리퍼', 2), ('서비스', 2), ('친절', 2), ('프런트', 2), ('통화', 2), ('가까운', 2), ('화장실', 2), ('주변', 2), ('구매', 2), ('복도', 2), ('더욱더', 2), ('랜덤', 2), ('배정', 2), ('싱글베드', 2), ('카센터', 2), ('고물상', 2), ('마스크', 2), ('피트', 2), ('니스', 2)]"
1,더 포 그레이스 리조트,"[('수영장', 5), ('요청', 5), ('청소', 4), ('가운', 4), ('냄새', 4), ('이상', 3), ('수건', 3), ('불편', 3), ('머리카락', 2), ('야외', 2), ('그렇', 2), ('탈의실', 2), ('신분증', 2), ('교체', 2), ('친절', 2), ('안내', 2), ('사항', 2), ('필요', 2), ('구성비', 2), ('괜찮', 2), ('연방', 2), ('결과', 2), ('요엘', 2), ('베타', 2), ('하수구', 2), ('심하', 2), ('칙칙', 2), ('진동', 2), ('천정', 2), ('벽지', 2), ('곰팡이', 2), ('노후', 1), ('특히', 1), ('사워', 1), ('부스', 1), ('동료', 1), ('발생', 1), ('시급히', 1), ('개선', 1), ('차가웠', 1), ('추워서', 1), ('비치', 1), ('타월', 1), ('따로', 1), ('박했', 1), ('요시', 1), ('당일', 1), ('바닥', 1), ('쓰레기', 1), ('청소기', 1)]"
2,라마다 제주시티 호텔,"[('침대', 20), ('불편', 13), ('냄새', 11), ('주차', 11), ('직원', 9), ('시설', 8), ('소리', 7), ('최악', 7), ('입실', 6), ('소음', 6), ('체크아웃', 6), ('시작', 6), ('모기', 6), ('실외기', 6), ('청소', 5), ('방음', 5), ('그렇', 5), ('예약', 5), ('칫솔', 5), ('치약', 5), ('서비스', 5), ('화장실', 4), ('로비', 4), ('아쉽', 4), ('화재', 4), ('센서', 4), ('문제', 4), ('여자', 4), ('친구', 4), ('관련', 4), ('죄송', 4), ('촬영', 4), ('플레인', 4), ('리어', 4), ('불구', 4), ('테이블', 3), ('변기', 3), ('불친절', 3), ('매트리스', 3), ('수압', 3), ('응대', 3), ('숙박', 3), ('그렇게', 3), ('나쁘', 3), ('얼굴', 3), ('부족', 3), ('가격', 3), ('에어컨', 3), ('먼지', 3), ('공간', 3)]"
3,랜딩관 제주신화월드 호텔앤리조트,"[('객실', 6), ('위치', 5), ('서비스', 5), ('최악', 5), ('불편', 4), ('용품', 4), ('프런트', 4), ('아기', 4), ('식당', 4), ('절대', 4), ('가격', 4), ('사람', 4), ('시스템', 4), ('특히', 4), ('냄새', 4), ('시설', 2), ('도착', 2), ('피곤', 2), ('관리', 2), ('의자', 2), ('똑같', 2), ('면박', 2), ('청소', 2), ('당연히', 2), ('소품', 2), ('세팅', 2), ('대충', 2), ('예약', 2), ('선착순', 2), ('자리', 2), ('직원', 2), ('전달', 2), ('잘못', 2), ('연인', 2), ('침대', 2), ('따로', 2), ('지금', 2), ('굳이', 2), ('플레인', 2), ('신발', 2), ('신고', 2), ('당황', 2), ('방음', 2), ('화장실', 2), ('하수구', 2), ('악취', 2), ('그렇', 2), ('바닥', 2), ('머리카락', 2), ('다신', 2)]"
4,롯데 시티호텔 제주,"[('경치', 3), ('객실', 2), ('할인', 2), ('굳이', 2), ('필요', 2), ('멀리', 2), ('공항', 2), ('근처', 2), ('숙박', 2), ('수영장', 2), ('식사', 1), ('프로', 1), ('아쉬웠', 1), ('바다', 1), ('주차장', 1), ('엘리베이터', 1), ('번거로웠', 1), ('날씨', 1), ('아쉬워', 1)]"
5,베스트웨스턴 제주,"[('청소', 16), ('객실', 15), ('예약', 10), ('숙박', 10), ('화장실', 9), ('주차', 8), ('경치', 8), ('직원', 6), ('처리', 6), ('주차장', 5), ('성급', 5), ('소음', 5), ('이불', 5), ('사진', 5), ('시티', 5), ('에어컨', 4), ('잘못', 4), ('청결', 4), ('물때', 4), ('먼지', 4), ('바닥', 4), ('공항', 4), ('체크아웃', 4), ('전화', 4), ('성수기', 4), ('위층', 4), ('사이', 4), ('심해서', 4), ('이내', 4), ('불쾌', 4), ('부탁', 4), ('시트', 4), ('교체', 4), ('의문', 4), ('덜컥', 4), ('자리', 3), ('서비스', 3), ('체크', 3), ('안내', 3), ('조식', 3), ('냄새', 3), ('머리카락', 3), ('이상', 3), ('개인', 3), ('세탁실', 3), ('커튼', 3), ('수건', 3), ('구성비', 3), ('충분히', 3), ('온돌방', 2)]"
6,봄그리고가을 호텔&리조트,"[('객실', 27), ('사진', 26), ('청소', 21), ('수영장', 20), ('편의점', 20), ('시설', 17), ('냄새', 16), ('소음', 14), ('에어컨', 14), ('불편', 14), ('직원', 14), ('경치', 14), ('소리', 13), ('리조트', 12), ('노후', 10), ('바다', 10), ('예약', 9), ('화장실', 9), ('프런트', 9), ('사람', 9), ('곰팡이', 9), ('숙박', 8), ('욕실', 8), ('방음', 7), ('운영', 7), ('벌레', 7), ('괜찮', 7), ('다르', 7), ('주변', 7), ('바비큐', 6), ('침구', 6), ('청결', 6), ('선택', 6), ('샤워', 6), ('식당', 6), ('참고', 6), ('상태', 5), ('수준', 5), ('수건', 5), ('직접', 5), ('샴푸', 5), ('위치', 5), ('깨끗', 5), ('침대', 5), ('아쉬웠', 5), ('어차피', 5), ('친절', 5), ('아이', 4), ('서비스', 4), ('이해', 4)]"
7,브라운 스위트 제주,"[('주차', 15), ('화장실', 14), ('경치', 13), ('불편', 13), ('에어컨', 12), ('청소', 12), ('샤워', 11), ('먼지', 10), ('직원', 10), ('조명', 10), ('침대', 8), ('객실', 8), ('모텔', 8), ('공간', 8), ('청결', 7), ('주차장', 7), ('시설', 7), ('욕실', 6), ('수건', 6), ('소파', 6), ('후기', 5), ('창문', 5), ('예약', 5), ('프런트', 5), ('연방', 5), ('방음', 5), ('어두운', 5), ('마스터', 5), ('소리', 5), ('샤워실', 4), ('물때', 4), ('건물', 4), ('추천', 4), ('냄새', 4), ('친절', 4), ('사진', 4), ('욕조', 4), ('깨끗', 4), ('머리카락', 4), ('어둡', 4), ('갑자기', 4), ('상태', 4), ('샤워기', 4), ('핑크', 4), ('체크인', 4), ('사람', 4), ('아까움', 4), ('최악', 4), ('컨디션', 3), ('세면대', 3)]"
8,블루하와이호텔,"[('소리', 17), ('방음', 9), ('주차', 7), ('부족', 7), ('화장실', 6), ('새벽', 6), ('리조트', 6), ('에어컨', 5), ('침대', 5), ('객실', 5), ('직원', 5), ('시설', 5), ('예약', 4), ('냄새', 4), ('시끄럽', 4), ('방충망', 4), ('불편', 4), ('옆방', 4), ('경치', 4), ('접근성', 4), ('공간', 3), ('편의점', 3), ('시끄러웠', 3), ('체크', 3), ('청소', 3), ('모텔', 3), ('구멍', 3), ('조식', 3), ('흔적', 3), ('음식', 3), ('칫솔', 3), ('치약', 3), ('고깃집', 3), ('불친절', 3), ('냉장고', 2), ('아웃', 2), ('더블', 2), ('싱글', 2), ('머리카락', 2), ('체크아웃', 2), ('이동', 2), ('욕실', 2), ('청결', 2), ('수압', 2), ('필요', 2), ('건물', 2), ('모기', 2), ('딱딱', 2), ('근처', 2), ('접시', 2)]"
9,서귀포 라마다 앙코르 호텔,"[('불편', 15), ('화장실', 13), ('청소', 12), ('객실', 11), ('모텔', 11), ('수건', 10), ('주차장', 9), ('침대', 9), ('괜찮', 9), ('샤워', 9), ('저렴', 8), ('체크인', 8), ('테이블', 8), ('가격', 7), ('바닥', 7), ('조식', 7), ('예약', 6), ('깔끔', 6), ('욕실', 6), ('깨끗', 6), ('음식', 6), ('체크아웃', 6), ('전화', 5), ('직원', 5), ('주차', 5), ('냄새', 5), ('에어컨', 5), ('고급', 5), ('아쉽', 4), ('기본', 4), ('프런트', 4), ('경치', 4), ('창문', 4), ('위치', 4), ('이름', 4), ('나쁘', 4), ('먼지', 4), ('교체', 4), ('샤워기', 4), ('사과', 4), ('리모컨', 4), ('오더', 4), ('카펫', 4), ('커튼', 4), ('잘못', 3), ('마인드', 3), ('시설', 3), ('방음', 3), ('소리', 3), ('샤워실', 3)]"
