,hotel_name,noun_extraction
0,더 베스트 제주 성산(구 라마다 앙코르 성산),"[('친절', 37), ('경치', 31), ('깨끗', 26), ('직원', 22), ('괜찮', 22), ('만족', 22), ('깔끔', 21), ('객실', 16), ('주차', 16), ('가까워서', 14), ('저렴', 14), ('구성비', 13), ('편의점', 13), ('위치', 13), ('시설', 13), ('주차장', 13), ('조식', 12), ('가격', 11), ('근처', 10), ('공간', 9), ('수영장', 8), ('주변', 8), ('침대', 7), ('예약', 7), ('야외', 7), ('청소', 7), ('불편', 7), ('청결', 6), ('일출', 6), ('감사', 6), ('추천', 6), ('체크인', 6), ('컨디션', 5), ('편하', 5), ('가깝', 5), ('프런트', 5), ('맛있', 5), ('가까운', 4), ('지하', 4), ('루프', 4), ('업그레이드', 4), ('아기', 4), ('함께', 4), ('구비', 4), ('에어컨', 4), ('식당', 4), ('옥상', 4), ('따로', 4), ('베스트', 4), ('건물', 4)]"
1,더 포 그레이스 리조트,"[('수영장', 6), ('깨끗', 5), ('가깝', 4), ('가족', 3), ('리조트', 3), ('깔끔', 3), ('저렴', 3), ('가격', 3), ('직원', 2), ('친절', 2), ('편의점', 2), ('산책로', 2), ('바다', 2), ('재의', 2), ('위치', 2), ('문제', 1), ('커플', 1), ('시설', 1), ('서비스', 1), ('근접', 1), ('객실', 1), ('실내', 1), ('충전', 1)]"
2,라마다 제주시티 호텔,"[('깨끗', 68), ('깔끔', 52), ('공항', 43), ('친절', 40), ('위치', 36), ('근처', 27), ('시설', 27), ('구성비', 26), ('만족', 24), ('가격', 20), ('편의점', 19), ('조식', 17), ('시내', 15), ('직원', 15), ('객실', 15), ('컨디션', 14), ('편하', 13), ('괜찮', 13), ('접근성', 12), ('서비스', 11), ('침대', 11), ('저렴', 10), ('의사', 10), ('편안', 10), ('경치', 9), ('버스', 9), ('추천', 9), ('청결', 9), ('교통', 8), ('거리', 8), ('조용', 8), ('맛있', 8), ('시장', 8), ('주차', 8), ('가깝', 8), ('쾌적', 8), ('편리', 7), ('푹신', 7), ('가까운', 6), ('일찍', 6), ('비행기', 6), ('먼지', 6), ('무난', 5), ('비즈니스', 5), ('주차장', 5), ('하룻밤', 5), ('번화가', 5), ('가까워서', 5), ('응대', 4), ('숙박', 4)]"
3,랜딩관 제주신화월드 호텔앤리조트,"[('친절', 29), ('시설', 27), ('깨끗', 22), ('깔끔', 19), ('만족', 17), ('직원', 17), ('객실', 15), ('조식', 12), ('거리', 11), ('수영장', 10), ('식당', 10), ('서비스', 10), ('편의', 9), ('워터', 9), ('파크', 9), ('구성비', 8), ('주변', 8), ('청결', 8), ('리조트', 8), ('불편', 8), ('괜찮', 7), ('가족', 7), ('맛있', 6), ('편하', 6), ('컨디션', 6), ('냄새', 6), ('숙박', 6), ('침대', 5), ('방음', 5), ('가격', 5), ('잘못', 4), ('처리', 4), ('면박', 4), ('추천', 4), ('상태', 4), ('랜딩', 4), ('아이', 4), ('접근', 4), ('어려운', 4), ('청소', 4), ('이렇게', 4), ('필요', 4), ('위치', 4), ('비싼', 4), ('응대', 4), ('후기', 4), ('부족', 4), ('편리', 3), ('이상', 3), ('성급', 3)]"
4,롯데 시티호텔 제주,"[('친절', 43), ('공항', 43), ('수영장', 41), ('깨끗', 24), ('경치', 23), ('조식', 22), ('직원', 20), ('객실', 17), ('만족', 17), ('깔끔', 16), ('업그레이드', 16), ('시설', 13), ('위치', 13), ('청결', 13), ('근처', 11), ('예약', 10), ('맛있', 10), ('불편', 10), ('가까워서', 8), ('시티', 8), ('감사', 8), ('아기', 8), ('서비스', 7), ('편했', 6), ('무료', 6), ('시내', 6), ('칫솔', 6), ('미온수', 6), ('비행기', 6), ('엄마', 6), ('프런트', 6), ('가깝', 6), ('주차장', 5), ('구성비', 5), ('영장', 5), ('수풀', 5), ('부대시설', 4), ('무난', 4), ('바다', 4), ('괜찮', 4), ('이뻤', 4), ('컨디션', 4), ('침구', 4), ('편안', 4), ('접근성', 4), ('온수풀', 4), ('그저', 4), ('편하', 4), ('따뜻', 4), ('신청', 4)]"
5,베스트웨스턴 제주,"[('공항', 43), ('깔끔', 27), ('깨끗', 26), ('위치', 25), ('시설', 21), ('친절', 19), ('가깝', 16), ('접근성', 14), ('편의점', 14), ('업그레이드', 14), ('객실', 13), ('직원', 13), ('편하', 12), ('만족', 12), ('청결', 11), ('시내', 11), ('근처', 11), ('주차', 10), ('구성비', 10), ('스타', 10), ('침대', 10), ('주변', 10), ('숙박', 9), ('괜찮', 8), ('가까워서', 8), ('편했', 8), ('컨디션', 8), ('편의', 7), ('교통', 7), ('예약', 7), ('경치', 6), ('쾌적', 6), ('도착', 6), ('화장실', 6), ('주차장', 6), ('맛있', 5), ('편리', 4), ('무난', 4), ('제외', 4), ('후기', 4), ('우선', 4), ('식당', 4), ('개인', 4), ('아쉬운', 4), ('세면대', 4), ('여유', 4), ('재의', 4), ('먼지', 4), ('아예', 4), ('교체', 4)]"
6,봄그리고가을 호텔&리조트,"[('경치', 285), ('바다', 141), ('깔끔', 133), ('깨끗', 133), ('친절', 127), ('시설', 108), ('구성비', 99), ('편의점', 87), ('수영장', 81), ('직원', 80), ('객실', 76), ('만족', 71), ('가격', 54), ('위치', 53), ('괜찮', 51), ('예약', 41), ('리조트', 40), ('가족', 38), ('불편', 38), ('편하', 37), ('근처', 36), ('침대', 35), ('수건', 33), ('일출', 31), ('저렴', 27), ('편했', 27), ('주변', 27), ('부모', 24), ('편의', 23), ('아이', 22), ('조식', 21), ('사진', 21), ('맛있', 20), ('치킨', 20), ('청결', 20), ('추천', 19), ('주차장', 19), ('컨디션', 17), ('숙박', 17), ('산책', 17), ('화장실', 15), ('날씨', 15), ('가깝', 15), ('바닷가', 14), ('아기', 14), ('바비큐', 14), ('세탁실', 14), ('식당', 13), ('영장', 13), ('프런트', 13)]"
7,브라운 스위트 제주,"[('경치', 41), ('깔끔', 26), ('깨끗', 26), ('위치', 24), ('친절', 23), ('구성비', 22), ('주차', 15), ('괜찮', 14), ('시설', 14), ('만족', 14), ('예약', 13), ('편의점', 13), ('직원', 12), ('근처', 12), ('주차장', 11), ('무난', 9), ('침구', 9), ('가격', 9), ('저렴', 9), ('지하', 8), ('객실', 7), ('부모', 6), ('가족', 6), ('사진', 6), ('수압', 6), ('일회용품', 6), ('칫솔', 6), ('편하', 6), ('가깝', 5), ('컨디션', 5), ('불편', 5), ('편안', 5), ('재의', 5), ('침대', 5), ('나쁘', 4), ('수영장', 4), ('아쉽', 4), ('화장실', 4), ('청결', 4), ('공간', 4), ('고급', 4), ('물론', 4), ('전망', 4), ('더욱', 4), ('업그레이드', 4), ('냄새', 4), ('온도', 4), ('서비스', 3), ('편히', 3), ('프런트', 3)]"
8,블루하와이호텔,"[('구성비', 63), ('친절', 48), ('수영장', 42), ('경치', 40), ('깨끗', 35), ('괜찮', 34), ('깔끔', 32), ('직원', 29), ('조식', 29), ('가격', 28), ('만족', 24), ('해수욕장', 20), ('리조트', 20), ('위치', 19), ('편의점', 19), ('객실', 16), ('시설', 14), ('바다', 14), ('산책', 14), ('청결', 12), ('접근성', 11), ('나쁘', 11), ('침대', 11), ('편하', 11), ('저렴', 10), ('따뜻', 10), ('버스', 10), ('프런트', 10), ('청소', 10), ('가족', 9), ('가까운', 9), ('정류장', 9), ('매점', 9), ('산책로', 8), ('마음', 8), ('도로', 8), ('따로', 8), ('체크인', 8), ('주변', 7), ('조용', 7), ('간단', 7), ('편했', 7), ('추천', 7), ('예약', 7), ('수압', 6), ('불편', 6), ('숙박', 6), ('자체', 6), ('후기', 6), ('컨디션', 6)]"
9,서귀포 라마다 앙코르 호텔,"[('구성비', 49), ('괜찮', 45), ('친절', 42), ('가격', 37), ('깨끗', 34), ('편의점', 24), ('저렴', 23), ('깔끔', 21), ('직원', 18), ('조식', 18), ('만족', 17), ('예약', 17), ('청결', 15), ('편하', 15), ('객실', 14), ('시설', 14), ('불편', 14), ('서비스', 13), ('주차장', 12), ('프런트', 11), ('주변', 10), ('위치', 10), ('침대', 10), ('이상', 9), ('화장실', 9), ('체크인', 8), ('경치', 8), ('숙박', 7), ('응대', 7), ('업그레이드', 7), ('냄새', 7), ('태풍', 7), ('청소', 6), ('맛있', 6), ('매번', 6), ('사진', 6), ('상태', 6), ('로비', 6), ('편히', 6), ('가족', 6), ('학생', 6), ('공지', 6), ('가깝', 5), ('감사', 5), ('컨디션', 5), ('맥주', 5), ('대비', 5), ('편했', 5), ('칫솔', 5), ('추천', 5)]"
10,스위트 메이 호텔 서귀포,"[('깨끗', 87), ('친절', 69), ('구성비', 53), ('깔끔', 40), ('경치', 37), ('직원', 36), ('만족', 33), ('시설', 30), ('침대', 29), ('객실', 27), ('위치', 26), ('근처', 21), ('가격', 21), ('괜찮', 20), ('주차장', 19), ('편의점', 16), ('컨디션', 16), ('청결', 16), ('강추', 14), ('침구', 13), ('조식', 13), ('주변', 12), ('화장실', 12), ('저렴', 11), ('주차', 11), ('서비스', 10), ('푹신', 10), ('프런트', 10), ('추천', 10), ('욕조', 10), ('일단', 10), ('예약', 9), ('구조', 9), ('조용', 9), ('맛있', 9), ('출장', 9), ('청소', 8), ('상태', 8), ('마음', 8), ('카페', 8), ('편안', 8), ('불편', 8), ('돼지', 8), ('커피', 8), ('크기', 7), ('지하', 7), ('의사', 6), ('전반', 6), ('접근성', 6), ('칫솔', 6)]"
