,hotel_code,hotel_name,hotel_location
0,3009313,아트스테이 서귀포 하버,서귀포 이중섭문화거리•474.9km
1,3008436,휘슬락 호텔,제주국제공항 차량 10분•445.3km
2,3010282,호텔위드 제주,제주국제공항 차량 10분•449.2km
3,3001285,봄그리고가을 호텔&리조트,성산일출봉 3km•447.6km
4,3009057,라마다 제주시티 호텔,제주국제공항 4.86km•447.8km
5,3001618,호텔 리젠트마린,제주국제공항 자동차 15분•445.2km
6,3012123,브라운 스위트 제주,성산일출봉 3.31km•450km
7,3008662,호텔샬롬 제주,제주국제공항 4.01km•446.9km
8,3001257,베스트웨스턴 제주,제주국제공항 차량 7분 거리•449km
9,3008177,코업시티호텔 성산,성산일출봉 500m•448.4km
10,3002353,더 베스트 제주 성산(구 라마다 앙코르 성산),성산일출봉 2.83km•450.3km
11,3001018,호텔 컬리넌 제주,제주국제공항 자동차 5분•449.2km
12,3001255,서귀포 라마다 앙코르 호텔,공무원연금공단 도보 3분•474.4km
13,3014838,호텔 시리우스 제주,제주국제공항 차량 5분•448.3km
14,3002197,코델리아s 호텔 앤 리조트,광치기해변 도보 10분•449.8km
15,3002366,호텔 골든데이지 서귀포 오션,이중섭거리 500m•474.5km
16,3010287,유탑유블레스호텔 제주함덕,함덕해수욕장 바로 앞•441.3km
17,3020718,호텔 에어시티 제주,제주국제공항 차량 7분•448.7km
18,3000997,롯데 시티호텔 제주,제주국제공항 자동차 5분•448.6km
19,3001784,제주 센트럴 시티 호텔,제주국제공항 2.92km•449.2km
20,3014454,호텔 케니 서귀포,올레시장 도보 2분•474.4km
21,3011118,랜딩관 제주신화월드 호텔앤리조트,서귀포 제주신화월드 내•471.7km
22,3001466,제주 엠스테이,올레시장 도보 5분•474.8km
23,3017777,에벤에셀 제주 함덕호텔,함덕해수욕장 도보 200M이내•441.3km
24,3001787,히든 클리프 호텔 앤 네이쳐,중문관광단지 약 1.74km•475.5km
25,3001147,더 포 그레이스 리조트,서귀포시 성산일출봉 차로 10분 거리•447.7km
26,3012178,퍼스트70 호텔,올레시장 도보 3분 거리•474.7km
27,3017635,"제주 헤이, 서귀포",천지연폭포 도보10분이내•474.9km
28,3015955,신화관 제주 신화월드 호텔앤리조트,서귀포 제주신화월드 내•471.4km
29,3015375,윈스토리 호텔 서귀포,올레시장 도보 5분•474.7km
30,3001963,탐라스테이 제주,제주국제공항 11.61km•450.1km
31,3001400,파크 선샤인 제주,천지연폭포 700m•475.1km
32,1000110305,신신호텔 제주 천지연,매일올레시장 도보 5분•474.5km
33,3017869,더큐브 리조트 제주,헬스케어타운 안에 위치•470.2km
34,1000109757,제주 노블피아 호텔,서귀포시 올레시장 도보 3분•474.7km
35,3016760,제주 부영호텔&리조트,중문동 ICC제주국제컨벤션센터 차량 1분•476.7km
36,1000110848,팜파스호텔 제주,제주국제공항 차량 약 10분•446.3km
37,1000101978,스위트 메이 호텔 서귀포,제주월드컵경기장 1km•474.7km
38,3020563,호텔 앨리스 앤 트렁크,제주국제공항 3.25km•449.2km
39,3017627,블루하와이호텔,협재해수욕장 5분 거리•464.2km
40,3012674,플레이스 캠프 제주,성산일출봉 2.3km•450.3km
41,3001194,제주 디아일랜드 블루,이중섭거리 도보 약 3분•474.9km
42,1000102482,아시아호텔 제주(구.아비아호텔),제주국제공항 차량 15분•449.1km
43,3018051,에프케이 알레그리아 호텔 서귀포,올레시장 도보 7분•474.7km
44,3000833,빠레브 호텔 제주,서귀포시 강정동•474.7km
45,3001292,비스타케이호텔 월드컵,제주월드컵경기장 1.5km•474.7km
46,1000103689,호텔 윈 스카이,제주월드컵경기장 차량 5분•474.6km
47,3000838,라마다 프라자 제주,제주국제공항 약 3km•445.2km
48,3001019,이화 호텔,제주국제공항 차량 5분 거리•448.1km
49,3011111,메리어트관 제주신화월드 호텔앤리조트,서귀포 제주신화월드 내•471.7km
50,3001052,아스타 호텔,제주시 제주국제공항•447.2km
51,3002258,제주 소랑 스파&풀빌라,에코랜드테마파크 10.85km•446.7km
52,3001098,그라벨 호텔,제주시 역빈해안•449.1km
53,3001461,제주 호텔 더 원,연동공원 230m•449.5km
54,1000104384,에코그린 리조트&호텔&풀빌라,곽지해수욕장 차량 3분 거리•457km
55,3020711,아띠랑스 호텔&풀빌라,성산일출봉 차량 5분•447.2km
56,3001677,제주 샐리스 호텔,제주국제공항 16.36km•453.2km
57,3001475,스타즈호텔 제주 로베로,"용두암,제주시 자가용 5분•445.8km"
58,3002126,호텔 더 그랑 중문,중문관광단지 입구 앞•475.1km
59,1000112785,벤티모 호텔 앤 레지던스 제주,제주국제공항 차량 약 6분•448.3km
60,3001207,롯데 호텔 제주,서귀포시 중문단지 근처•476.1km
61,3001449,제주 아름다운리조트,조가비박물관 380m•447.6km
62,3002381,제주 담스파빌,"협재해변, 금능해변 차량 1분 거리•463.5km"
63,3001141,아리아 호텔 제주,중문관광단지 중문관광단지 도보 5분•475.3km
64,1000100502,호텔 서귀피안,서귀포매일올레시장 차량 10분•474.8km
65,3008394,호텔난타 제주,제주국제공항 11.59km•453km
66,3001682,제주 해수스파호텔 코자,서귀포시 모슬포항 327m•481.6km
67,3017628,블루하와이리조트,협재해수욕장 5분 거리•464.1km
68,1000109940,제주 호텔 더 엠,이중섭거리 도보 5분•474.8km
69,1000099915,제주 골드원 호텔&스위트,서귀포 시외버스 터미널 차량 4분•475.5km
70,3001946,호텔 스테이인터뷰 제주,중문관광단지 제주국제컨벤션센터 500m•476.2km
71,3001650,어반 아일랜드,제주국제공항 자동차 10분•448.7km
72,3001346,RA 관광 호텔,제주 국제 공항 약 5.5Km•449.4km
73,3006624,비스타 리조트,제주국제공항 5.88km•447.6km
