,hotel_name,noun_extraction
0,더 베스트 제주 성산(구 라마다 앙코르 성산),"[('깨끗', 38), ('경치', 28), ('위치', 25), ('깔끔', 25), ('괜찮', 25), ('시설', 24), ('친절', 23), ('수영장', 23), ('객실', 22), ('직원', 20), ('편의점', 20), ('루프', 17), ('방음', 17), ('저렴', 16), ('조식', 16), ('구성비', 15), ('가격', 15), ('예약', 12), ('주차', 12), ('화장실', 12), ('주차장', 11), ('서비스', 11), ('청결', 11), ('업그레이드', 11), ('만족', 11), ('프런트', 10), ('근처', 10), ('불편', 10), ('소리', 9), ('욕실', 9), ('침대', 9), ('청소', 8), ('편하', 8), ('냄새', 7), ('숙박', 7), ('주변', 7), ('맥주', 7), ('티브이', 6), ('컨디션', 6), ('맛있', 6), ('협소', 6), ('상태', 6), ('안내', 6), ('편리', 6), ('응대', 6), ('추천', 6), ('부족', 6), ('칫솔', 6), ('가깝', 6), ('나쁘', 5)]"
1,더 포 그레이스 리조트,"[('수영장', 63), ('친절', 29), ('괜찮', 27), ('객실', 26), ('깨끗', 26), ('구성비', 25), ('직원', 25), ('리조트', 25), ('시설', 23), ('편의점', 22), ('침대', 22), ('아이', 21), ('가족', 20), ('가격', 18), ('저렴', 18), ('불편', 16), ('만족', 15), ('경치', 14), ('조식', 13), ('예약', 12), ('깔끔', 12), ('청결', 12), ('위치', 11), ('화장실', 10), ('소리', 10), ('청소', 10), ('편하', 10), ('서비스', 9), ('냄새', 8), ('후기', 8), ('주변', 8), ('온수', 8), ('방음', 8), ('에어컨', 7), ('주방', 7), ('영장', 7), ('아기', 7), ('관리', 7), ('욕실', 7), ('감사', 7), ('맛있', 6), ('컨디션', 6), ('프런트', 6), ('체크인', 6), ('추천', 6), ('요수', 6), ('수풀', 6), ('사진', 6), ('특히', 6), ('바다', 6)]"
2,더큐브 리조트 제주,"[('시설', 47), ('깨끗', 39), ('구성비', 39), ('친절', 32), ('청소', 24), ('만족', 24), ('객실', 22), ('깔끔', 20), ('주변', 19), ('침대', 19), ('직원', 19), ('위치', 18), ('조용', 18), ('경치', 18), ('편의점', 17), ('화장실', 16), ('불편', 15), ('리조트', 14), ('가격', 13), ('청결', 12), ('접근성', 12), ('추천', 12), ('괜찮', 10), ('편의', 10), ('주차', 9), ('편하', 9), ('공간', 9), ('먼지', 8), ('가족', 8), ('부족', 8), ('숙박', 8), ('아쉽', 8), ('상태', 7), ('머리카락', 7), ('단점', 7), ('거리', 7), ('체크인', 6), ('마음', 6), ('시장', 6), ('이동', 6), ('내부', 6), ('예약', 6), ('컨디션', 6), ('쾌적', 5), ('근처', 5), ('정리', 5), ('바다', 5), ('시내', 5), ('건물', 5), ('업그레이드', 5)]"
3,라마다 제주시티 호텔,"[('깨끗', 38), ('깔끔', 32), ('친절', 28), ('공항', 25), ('침대', 25), ('주차', 23), ('직원', 21), ('위치', 19), ('시설', 18), ('주차장', 18), ('괜찮', 16), ('객실', 16), ('구성비', 16), ('가격', 14), ('불편', 13), ('편의점', 12), ('근처', 11), ('만족', 11), ('먼지', 11), ('경치', 10), ('가깝', 10), ('컨디션', 10), ('저렴', 10), ('청소', 10), ('시내', 9), ('청결', 9), ('냄새', 9), ('방음', 9), ('버스', 9), ('시청', 8), ('조식', 8), ('화장실', 7), ('예약', 7), ('편리', 7), ('칫솔', 7), ('주변', 6), ('협소', 6), ('편하', 5), ('편의', 5), ('완벽', 5), ('공간', 5), ('서비스', 5), ('프런트', 5), ('나쁘', 5), ('시장', 5), ('치약', 5), ('정류장', 5), ('전화', 4), ('새벽', 4), ('접근성', 4)]"
4,랜딩관 제주신화월드 호텔앤리조트,"[('시설', 54), ('친절', 46), ('깨끗', 41), ('깔끔', 27), ('직원', 26), ('객실', 24), ('서비스', 17), ('만족', 17), ('구성비', 12), ('편의', 11), ('침대', 11), ('괜찮', 11), ('랜딩', 10), ('예약', 10), ('청결', 9), ('조식', 9), ('청소', 9), ('거리', 9), ('추천', 9), ('편하', 9), ('성급', 9), ('워터', 9), ('파크', 9), ('부대시설', 9), ('저렴', 8), ('가격', 8), ('주변', 8), ('식당', 8), ('수영장', 8), ('상태', 8), ('컨디션', 8), ('맛있', 7), ('화장실', 7), ('냄새', 7), ('체크인', 7), ('불편', 6), ('쾌적', 6), ('이불', 6), ('특히', 6), ('샤워', 6), ('에어컨', 6), ('위치', 6), ('방음', 5), ('아이', 5), ('리조트', 5), ('규모', 5), ('추억', 5), ('감사', 5), ('소리', 5), ('침구', 5)]"
5,롯데 시티호텔 제주,"[('친절', 56), ('수영장', 44), ('공항', 41), ('직원', 38), ('깨끗', 36), ('경치', 34), ('만족', 27), ('깔끔', 27), ('객실', 24), ('시설', 19), ('조식', 18), ('위치', 15), ('편하', 14), ('침대', 14), ('청결', 13), ('가깝', 13), ('업그레이드', 12), ('침구', 11), ('맛있', 11), ('서비스', 11), ('불편', 9), ('괜찮', 9), ('체크인', 9), ('비행기', 8), ('근처', 8), ('시내', 8), ('시티', 7), ('편안', 7), ('프런트', 7), ('예약', 7), ('컨디션', 7), ('구성비', 6), ('편리', 6), ('가격', 6), ('체크아웃', 6), ('따뜻', 5), ('베개', 5), ('바다', 5), ('응대', 5), ('교통', 5), ('감사', 5), ('의사', 4), ('욕조', 4), ('예쁘', 4), ('상태', 4), ('접근성', 4), ('푹신', 4), ('풀장', 4), ('아쉽', 4), ('욕실', 4)]"
6,베스트웨스턴 제주,"[('위치', 44), ('공항', 39), ('친절', 28), ('깨끗', 26), ('객실', 24), ('시설', 24), ('스타', 22), ('깔끔', 22), ('직원', 19), ('괜찮', 19), ('구성비', 18), ('가깝', 17), ('편의점', 14), ('불편', 14), ('근처', 13), ('시내', 13), ('조식', 12), ('예약', 11), ('업그레이드', 11), ('화장실', 11), ('청소', 10), ('주차장', 10), ('교통', 9), ('접근성', 9), ('편리', 9), ('샤워', 8), ('주차', 8), ('세면대', 7), ('만족', 7), ('건물', 7), ('편하', 7), ('침대', 7), ('칫솔', 7), ('소리', 7), ('방음', 7), ('추천', 6), ('주변', 6), ('정류장', 6), ('소음', 6), ('버스', 6), ('노후', 6), ('치약', 6), ('나쁘', 6), ('침구', 6), ('바닥', 6), ('청결', 6), ('서비스', 6), ('숙박', 5), ('경치', 5), ('쾌적', 5)]"
7,봄그리고가을 호텔&리조트,"[('경치', 72), ('바다', 38), ('친절', 31), ('깨끗', 26), ('시설', 25), ('수영장', 23), ('구성비', 23), ('편의점', 23), ('만족', 20), ('가족', 20), ('리조트', 19), ('깔끔', 19), ('객실', 18), ('소리', 18), ('직원', 17), ('괜찮', 16), ('위치', 14), ('수건', 13), ('불편', 11), ('방음', 11), ('화장실', 11), ('예약', 11), ('사람', 10), ('가격', 9), ('근처', 9), ('편하', 8), ('거리', 8), ('소음', 8), ('추천', 8), ('아이', 8), ('편의', 7), ('마음', 7), ('전망', 7), ('아쉽', 7), ('침대', 7), ('상태', 6), ('청결', 6), ('일출', 6), ('친구', 6), ('치약', 6), ('에어컨', 6), ('사진', 6), ('냄새', 6), ('저렴', 6), ('층간', 6), ('주차장', 5), ('칫솔', 5), ('주변', 5), ('이불', 5), ('가깝', 5)]"
8,브라운 스위트 제주,"[('경치', 44), ('시설', 27), ('예약', 23), ('구성비', 23), ('깨끗', 22), ('객실', 20), ('친절', 20), ('위치', 20), ('괜찮', 19), ('청결', 18), ('깔끔', 17), ('주변', 17), ('직원', 17), ('침대', 16), ('편의점', 16), ('화장실', 15), ('주차장', 15), ('불편', 14), ('수건', 14), ('만족', 13), ('주차', 13), ('청소', 11), ('아쉽', 11), ('조명', 10), ('샤워', 9), ('추천', 9), ('근처', 9), ('나쁘', 8), ('콘센트', 8), ('편하', 7), ('모기', 7), ('창문', 7), ('바다', 7), ('먼지', 7), ('냄새', 7), ('가격', 7), ('욕실', 7), ('지하', 7), ('부족', 7), ('사진', 6), ('모텔', 6), ('상태', 6), ('식당', 6), ('사람', 6), ('최악', 6), ('업그레이드', 6), ('내부', 6), ('수압', 6), ('바닥', 6), ('커튼', 5)]"
9,신화관 제주 신화월드 호텔앤리조트,"[('친절', 59), ('직원', 40), ('수영장', 33), ('시설', 30), ('워터', 25), ('깨끗', 24), ('파크', 22), ('만족', 18), ('청결', 16), ('조식', 16), ('깔끔', 16), ('객실', 16), ('편의', 14), ('거리', 13), ('리조트', 13), ('구성비', 13), ('사람', 13), ('서비스', 11), ('맛있', 11), ('아이', 10), ('컨디션', 9), ('업그레이드', 9), ('예약', 9), ('방음', 8), ('괜찮', 7), ('불편', 7), ('음식', 7), ('아쉽', 7), ('감사', 7), ('스카', 6), ('이풀', 6), ('재밌', 6), ('실내', 6), ('식당', 6), ('식사', 6), ('가격', 6), ('체크인', 6), ('따로', 6), ('경치', 5), ('마음', 5), ('편의점', 5), ('성인', 5), ('결국', 5), ('가족', 5), ('스타', 5), ('위치', 5), ('사진', 5), ('소리', 5), ('추억', 4), ('주차장', 4)]"
