,hotel,star,review,preprocessed_review,date
0,아트스테이 서귀포 하버,5,조용하고 좋아요 ~ 주변에 편의점이랑 주차장 올레시장 다 걸어서 갈수 있어서 좋아요,조용하고 좋아요  주변에 편의점이랑 주차장 올레시장 다 걸어서 갈수 있어서 좋아요,2021-08-05
1,아트스테이 서귀포 하버,5,음식을 포장해서 안에서 먹기에는 조금 불편한 감이 있지만 그것만 제외한다면 다시 갈 거 같아요!,음식을 포장해서 안에서 먹기에는 조금 불편한 감이 있지만 그것만 제외한다면 다시 갈 거 같아요,2021-07-25
2,아트스테이 서귀포 하버,4,"전체적으로 깔끔하고 평범한 호텔느낌이였습니다!
객실안, 복도 모두 러그로 마감해놓으셨고 객실안 현관 신발놓는곳이 따로 되어있지않아, 조금 불편했습니다ㅠㅠ
테라스에 의자나 작은 테이블이 있었다면 좋을것 같습니다~ 잠을자는데 시끄럽진않았고 청결했습니다! 좋은 추억만들다갑니다~",전체적으로 깔끔하고 평범한 호텔 느낌이었습니다 객실 안 복도 모두 러그로 마감해놓으셨고 객실 안 현관 신발 놓는 곳이 따로 되어있지 않아 조금 불편했습니다 테라스에 의자나 작은 테이블이 있었다면 좋을 것 같습니다 잠을 자는데 시끄럽진 않았고 청결했습니다 좋은 추억 만들다 갑니다,2021-07-17
3,아트스테이 서귀포 하버,3,침구에 담배빵도 있고 깨끗한거 좋아하시는 분은 다른데 가는게 나을거 같아요 나머진 접근성 올레시장걸어서 갈수도 있고 좋앗어요,침구에 담배 방도 있고 깨끗한 거 좋아하시는 분은 다른데 가는 게 나을 거 같아요 나머진 접근성 올레시장 걸어서 갈 수도 있고 좋았어요,2021-07-10
4,아트스테이 서귀포 하버,3,이중섭거리 근처에 있어서 위치는 좋았습니다. 건물외관이 녹슬어있어서 낡아보이긴했지만 내부는 그럭저럭이었습니딘.,이중섭거리 근처에 있어서 위치는 좋았습니다 건물 외관이 녹슬어있어서 낡아 보이긴 했지만 내부는 그럭저럭이었습니딘,2021-07-07
5,아트스테이 서귀포 하버,5,가성비 최고입니다. 너무 좋은 기억만 가득해서 행복하네요. 다음에도 이용할것같아요.,  구성비   최고입니다 너무 좋은 기억만 가득해서 행복하네요 다음에도 이용할 것 같아요,2021-07-05
6,아트스테이 서귀포 하버,5,쾌적하게 잘 묵고갑니다. 일찍도착해서 주차도 크게 불편없었습니다.,쾌적하게 잘 묵고 갑니다 일찍 도착해서 주차도 크게 불편 없었습니다,2021-07-01
7,아트스테이 서귀포 하버,2,체크인할때 프론트 직원이 건성건성하는 말투였습니다.,체크인할 때 프런트 직원이 건성건성 하는 말투였습니다,2021-06-29
8,아트스테이 서귀포 하버,5,친절짱 시설짱 제주도갈때 애용합니다,친절짱 시설짱 제주도 갈 때 애용합니다,2021-06-26
9,아트스테이 서귀포 하버,2,"그저그랫어요 깔끔하진 않았어요 ㅜㅜ
오션뷰는 그럭저럭",그저 그랬어요 깔끔하진 않았어요 오션경치는 그럭저럭,2021-06-26
10,아트스테이 서귀포 하버,5,예전에가고 또간곳인데  잘있다가.왓습니다!,예전에 가고 또 간 곳인데  잘 있다가왔습니다,2021-06-24
11,아트스테이 서귀포 하버,3,위치도 방 상태도 너무 좋았습니다,위치도 방 상태도 너무 좋았습니다,2021-06-22
12,아트스테이 서귀포 하버,5,친절하고 시설도 깨끗해서 덕분에 잘쉬았다가요,친절하고 시설도 깨끗해서 덕분에 잘 쉬었다가 요,2021-06-14
13,아트스테이 서귀포 하버,4,깨끗하고 서비스도 좋았습니다 조식도 괜찮았구요 근데 주차공간이 너무 적고 주차장입구 너무 좁아서 힘들었네용 ㅜㅠ,깨끗하고 서비스도 좋았습니다 조식도 괜찮았고요 근데 주차공간이 너무 적고 주차장 입구 너무 좁아서 힘들었네요,2021-06-06
14,아트스테이 서귀포 하버,5,깨끗하고 편하게 잘 묵다갑니다,깨끗하고 편하게 잘 묵다 갑니다,2020-12-28
15,아트스테이 서귀포 하버,5,"편의점도 가깝고, 주변에 맛집있습니다💕",편의점도 가깝고 주변에 맛 집 있습니다,2020-12-22
16,아트스테이 서귀포 하버,4,깔끔하고 좋았습니다. 이중섭거리와 올레 시장이 가까워 편리했습니다. 그러나 객실 내부가 너무 건조해서 조금 아쉬웠습니다ㅠ 그것 말고는 완벽했습니다,깔끔하고 좋았습니다 이중섭거리와 올레 시장이 가까워 편리했습니다 그러나 객실 내부가 너무 건조해서 조금 아쉬웠습니다 그것 말고는 완벽했습니다,2020-12-21
17,아트스테이 서귀포 하버,3,위치는 좋았으나 색실 천장에서 물소리가 너무너무너무 심해요 총 3박했는데 첫날은 진짜 못잤고 둘째날 프런트에 말씀드렸더니 방 옮겨도 똑같을거라고 히터때문에.. 귀마개 준다고 하시더라구요 ㅠ그거빼곤 굿,위치는 좋았으나 색실 천장에서 물소리가 너무너무너무 심해요 총 박했는데 첫날은 진짜 못 잤고 둘째 날 프런트에 말씀드렸더니 방 옮겨도 똑같을 거라고 히터 때문에 귀마개 준다고 하시더라고요 그거 빼곤 굿,2020-12-15
18,아트스테이 서귀포 하버,5,다만족했습니다. 2박연박이였는데 숙방청소시 수건을 두장만비취해주셔서 로비로내려가 다시받기 번거로웠던거땜에 별하나뺍니당,다 만족했습니다 박연 박이었는데 숙방 청소 시 수건을 두 장만 비취 해주셔서 로비로 내려가 다시 받기 번거로웠던 거 땜에 별 하나 뺍니다,2020-12-13
19,아트스테이 서귀포 하버,5,"가격대비 괜찮아요
주차가 조금 불편했던거빼면 좋아요",  구성비   괜찮아요 주차가 조금 불편했던 거 빼면 좋아요,2020-12-07
20,아트스테이 서귀포 하버,5,"조식도 맛있고
룸컨디션도 짱짱입니다!!
다음에 또 이용할게요",조식도 맛있고 룸 컨디션도 짱짱입니다 다음에 또 이용할게요,2020-12-06
21,아트스테이 서귀포 하버,5,"이동경로와 근접한 위치 때문에 예약했는데
기대 이상으로 좋았어요. 깔끔했고 조식도 괜찮았습니다.",이동경로와 근접한 위치 때문에 예약했는데 기대 이상으로 좋았어요 깔끔했고 조식도 괜찮았습니다,2020-12-05
22,아트스테이 서귀포 하버,4,제주도가서 굉장히 신선한 추억 만들고갑니다 감사합니다,제주도가 서 굉장히 신선한 추억 만들고 갑니다 감사합니다,2020-12-05
23,아트스테이 서귀포 하버,5,오션더라구요. 뷰도 좋고 서비스도 좋았습니다,오션 더라고요 경치도 좋고 서비스도 좋았습니다,2020-11-29
24,아트스테이 서귀포 하버,4,주차장이  헬이긴햇지만   숙소는 괜찮았어요~,주차장이  헬이긴햇지만   숙소는 괜찮았어요,2020-11-25
25,아트스테이 서귀포 하버,5,스위트룸에 대단함을 느꼈네요ㅎㅎ와이프가 지금껏 이용한 숙소중 올타임 넘버원을 외쳤던...ㅋㅋㅋ뷰도 환상적에다가 스파도 너무 좋고 욕실도 두개에다가 주방 구성까지..정말 넓고 깔끔하고 부족함이 없는 최고였네요ㅎㅎ물론 조식 또한 깔끔한 구성입니다ㅎㅎ,스위트룸에 대단함을 느꼈네요 와이프가 지금껏 이용한 숙소 중 올 타임 넘버원을 외쳤던 경치도 환상적에다가 스파도 너무 좋고 욕실도 두 개에다가 주방 구성까지 정말 넓고 깔끔하고 부족함이 없는 최고였네요 물론 조식 또한 깔끔한 구성입니다,2020-11-23
