,hotels,noun_extraction
0,더 베스트 제주 성산(구 라마다 앙코르 성산),"[('깨끗', 54), ('경치', 48), ('친절', 46), ('깔끔', 39), ('괜찮', 39), ('직원', 36), ('위치', 33), ('객실', 33), ('시설', 33), ('수영장', 30), ('편의점', 27), ('만족', 24), ('조식', 24), ('저렴', 23), ('구성비', 23), ('주차장', 22), ('주차', 22), ('가격', 22), ('루프', 20), ('방음', 18), ('청결', 17), ('불편', 17), ('예약', 16), ('프런트', 16), ('침대', 16), ('근처', 16), ('화장실', 15), ('욕실', 14), ('서비스', 13), ('주변', 13), ('업그레이드', 13), ('소리', 12), ('청소', 12), ('편하', 12), ('냄새', 10), ('공간', 10), ('아기', 10), ('컨디션', 9), ('맛있', 9), ('협소', 9), ('추천', 9), ('카펫', 9), ('아쉽', 9), ('가깝', 9), ('맥주', 9), ('식당', 8), ('바닥', 8), ('슬리퍼', 8), ('야외', 8), ('칫솔', 8)]"
1,더 포 그레이스 리조트,"[('수영장', 71), ('친절', 33), ('직원', 29), ('깨끗', 29), ('리조트', 28), ('괜찮', 28), ('구성비', 27), ('객실', 26), ('편의점', 23), ('아이', 23), ('시설', 23), ('가족', 22), ('침대', 22), ('가격', 20), ('저렴', 20), ('불편', 18), ('만족', 15), ('경치', 15), ('조식', 13), ('예약', 13), ('깔끔', 13), ('청소', 13), ('위치', 12), ('청결', 12), ('화장실', 11), ('냄새', 10), ('소리', 10), ('편하', 10), ('서비스', 10), ('수건', 9), ('방음', 9), ('에어컨', 8), ('후기', 8), ('영장', 8), ('주변', 8), ('온수', 8), ('가깝', 7), ('체크인', 7), ('주방', 7), ('추천', 7), ('요수', 7), ('아기', 7), ('관리', 7), ('욕실', 7), ('바다', 7), ('감사', 7), ('맛있', 6), ('컨디션', 6), ('프런트', 6), ('수풀', 6)]"
2,더큐브 리조트 제주,"[('시설', 47), ('깨끗', 39), ('구성비', 39), ('친절', 32), ('청소', 24), ('만족', 24), ('객실', 22), ('깔끔', 20), ('주변', 19), ('침대', 19), ('직원', 19), ('위치', 18), ('조용', 18), ('경치', 18), ('편의점', 17), ('화장실', 16), ('불편', 15), ('리조트', 14), ('가격', 13), ('청결', 12), ('접근성', 12), ('추천', 12), ('괜찮', 10), ('편의', 10), ('주차', 9), ('편하', 9), ('공간', 9), ('먼지', 8), ('가족', 8), ('부족', 8), ('숙박', 8), ('아쉽', 8), ('상태', 7), ('머리카락', 7), ('단점', 7), ('거리', 7), ('체크인', 6), ('마음', 6), ('시장', 6), ('이동', 6), ('내부', 6), ('예약', 6), ('컨디션', 6), ('쾌적', 5), ('근처', 5), ('정리', 5), ('바다', 5), ('시내', 5), ('건물', 5), ('업그레이드', 5)]"
3,라마다 제주시티 호텔,"[('깨끗', 78), ('깔끔', 63), ('공항', 51), ('친절', 49), ('침대', 48), ('위치', 45), ('시설', 40), ('주차', 39), ('직원', 36), ('구성비', 29), ('가격', 28), ('불편', 27), ('근처', 27), ('객실', 27), ('괜찮', 25), ('만족', 24), ('편의점', 24), ('주차장', 24), ('시내', 22), ('조식', 19), ('먼지', 18), ('컨디션', 18), ('경치', 17), ('저렴', 17), ('청소', 17), ('냄새', 16), ('서비스', 16), ('방음', 15), ('청결', 15), ('가깝', 14), ('버스', 14), ('예약', 13), ('편리', 12), ('접근성', 12), ('편하', 12), ('칫솔', 12), ('화장실', 11), ('교통', 11), ('시청', 10), ('소리', 9), ('편했', 9), ('공간', 9), ('시장', 9), ('나쁘', 8), ('이상', 8), ('아쉽', 8), ('편안', 8), ('쾌적', 8), ('에어컨', 8), ('추천', 8)]"
4,랜딩관 제주신화월드 호텔앤리조트,"[('시설', 71), ('친절', 62), ('깨끗', 53), ('깔끔', 37), ('객실', 37), ('직원', 37), ('만족', 26), ('서비스', 25), ('편의', 18), ('구성비', 18), ('괜찮', 17), ('조식', 16), ('청결', 16), ('워터', 16), ('파크', 16), ('거리', 16), ('침대', 16), ('수영장', 15), ('식당', 15), ('가격', 13), ('랜딩', 13), ('주변', 12), ('불편', 12), ('청소', 12), ('냄새', 12), ('위치', 12), ('저렴', 11), ('추천', 11), ('상태', 11), ('예약', 11), ('편하', 11), ('컨디션', 11), ('성급', 11), ('부대시설', 11), ('맛있', 10), ('리조트', 10), ('특히', 10), ('숙박', 10), ('방음', 9), ('화장실', 9), ('아쉽', 8), ('체크인', 8), ('가족', 7), ('프런트', 7), ('샤워', 7), ('아이', 6), ('내부', 6), ('감사', 6), ('소리', 6), ('쾌적', 6)]"
5,롯데 시티호텔 제주,"[('친절', 81), ('수영장', 68), ('공항', 65), ('깨끗', 50), ('직원', 50), ('경치', 48), ('만족', 37), ('깔끔', 36), ('객실', 35), ('조식', 29), ('시설', 26), ('위치', 22), ('업그레이드', 20), ('청결', 20), ('편하', 16), ('침대', 16), ('가깝', 16), ('맛있', 16), ('서비스', 15), ('근처', 15), ('불편', 14), ('침구', 13), ('시티', 12), ('예약', 12), ('비행기', 11), ('시내', 11), ('괜찮', 11), ('체크인', 11), ('프런트', 10), ('구성비', 9), ('감사', 9), ('편안', 9), ('컨디션', 9), ('체크아웃', 8), ('바다', 8), ('편했', 8), ('주차장', 7), ('따뜻', 7), ('접근성', 6), ('편리', 6), ('가격', 6), ('풀장', 6), ('응대', 6), ('교통', 6), ('수풀', 6), ('필요', 5), ('의사', 5), ('무료', 5), ('완벽', 5), ('베개', 5)]"
6,베스트웨스턴 제주,"[('공항', 65), ('위치', 62), ('깨끗', 46), ('객실', 42), ('친절', 41), ('시설', 38), ('깔끔', 36), ('직원', 30), ('스타', 29), ('구성비', 28), ('괜찮', 26), ('가깝', 25), ('편의점', 23), ('예약', 21), ('화장실', 21), ('접근성', 21), ('근처', 21), ('청소', 20), ('시내', 19), ('주차', 19), ('불편', 18), ('업그레이드', 17), ('주차장', 15), ('청결', 15), ('조식', 15), ('숙박', 15), ('침대', 15), ('교통', 14), ('편하', 14), ('만족', 13), ('경치', 12), ('편리', 12), ('세면대', 11), ('샤워', 11), ('주변', 11), ('침구', 11), ('서비스', 10), ('먼지', 10), ('칫솔', 10), ('바닥', 10), ('소음', 9), ('쾌적', 8), ('버스', 8), ('치약', 8), ('방음', 8), ('냄새', 8), ('편의', 7), ('추천', 7), ('무난', 7), ('에어컨', 7)]"
7,봄그리고가을 호텔&리조트,"[('경치', 258), ('바다', 134), ('친절', 109), ('깨끗', 105), ('시설', 103), ('깔끔', 101), ('편의점', 92), ('수영장', 89), ('구성비', 85), ('객실', 80), ('직원', 73), ('만족', 61), ('괜찮', 53), ('위치', 53), ('리조트', 49), ('가격', 45), ('불편', 44), ('가족', 43), ('예약', 43), ('수건', 37), ('근처', 34), ('사진', 34), ('소리', 33), ('청소', 33), ('편하', 31), ('침대', 28), ('방음', 27), ('화장실', 27), ('냄새', 27), ('청결', 25), ('아이', 25), ('주변', 24), ('저렴', 24), ('일출', 23), ('에어컨', 22), ('편의', 22), ('추천', 22), ('소음', 21), ('프런트', 20), ('숙박', 19), ('상태', 19), ('편했', 19), ('주차장', 19), ('사람', 19), ('조식', 18), ('치킨', 17), ('부모', 17), ('노후', 17), ('바비큐', 16), ('맛있', 16)]"
8,브라운 스위트 제주,"[('경치', 83), ('시설', 42), ('예약', 41), ('깨끗', 41), ('구성비', 41), ('친절', 38), ('위치', 34), ('괜찮', 33), ('직원', 32), ('객실', 32), ('깔끔', 32), ('주차', 31), ('화장실', 28), ('주차장', 28), ('불편', 27), ('침대', 27), ('청결', 27), ('편의점', 27), ('만족', 23), ('청소', 23), ('수건', 20), ('샤워', 18), ('주변', 18), ('근처', 17), ('가격', 16), ('조명', 15), ('나쁘', 14), ('추천', 14), ('먼지', 14), ('사진', 13), ('에어컨', 13), ('아쉽', 13), ('냄새', 13), ('저렴', 13), ('창문', 12), ('모텔', 12), ('공간', 12), ('지하', 12), ('침구', 12), ('욕실', 12), ('콘센트', 11), ('칫솔', 10), ('편하', 10), ('가족', 10), ('부모', 10), ('프런트', 10), ('부족', 10), ('수압', 9), ('컨디션', 9), ('최악', 9)]"
9,블루하와이호텔,"[('구성비', 46), ('친절', 30), ('경치', 29), ('수영장', 28), ('괜찮', 22), ('깨끗', 22), ('직원', 20), ('조식', 20), ('깔끔', 18), ('소리', 17), ('가격', 17), ('리조트', 16), ('만족', 15), ('위치', 14), ('시설', 14), ('객실', 13), ('편의점', 13), ('해수욕장', 12), ('침대', 12), ('방음', 11), ('접근성', 9), ('바다', 9), ('청소', 8), ('청결', 8), ('화장실', 8), ('불편', 8), ('나쁘', 8), ('산책', 8), ('버스', 7), ('정류장', 7), ('매점', 7), ('저렴', 7), ('프런트', 6), ('가족', 6), ('예약', 6), ('주차', 6), ('편하', 6), ('체크인', 6), ('체크', 5), ('에어컨', 5), ('새벽', 5), ('부족', 5), ('가까운', 5), ('주변', 5), ('수압', 5), ('도로', 5), ('산책로', 5), ('따뜻', 5), ('조용', 5), ('칫솔', 5)]"
